"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "TypeScript", "Markdown", "CSS", "comment", "blank", "total"
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 0, 13, 128
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/components/ui/toaster.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/components/ui/use-toast.ts", "TypeScript", 0, 0, 0, 0, 0, 159, 0, 0, 3, 31, 193
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/config/fonts.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 2, 39
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/config/site.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/lib/Provider.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/lib/phone-prefix.json.tsx", "TypeScript JSX", 0, 0, 0, 1202, 0, 0, 0, 0, 0, 0, 1202
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/lib/utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/next.config.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/package-lock.json", "JSON", 0, 21270, 0, 0, 0, 0, 0, 0, 0, 1, 21271
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/package.json", "JSON", 0, 76, 0, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ad.svg", "XML", 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 151
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ae.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/af.svg", "XML", 0, 0, 0, 0, 81, 0, 0, 0, 0, 1, 82
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ag.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ai.svg", "XML", 0, 0, 0, 0, 758, 0, 0, 0, 0, 1, 759
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/al.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/am.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/an.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ao.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/aq.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
